	Time(us)	Latency		Task_done
353	87244		230		354
354	87475		231		355
355	87704		229		356
356	87935		231		357
357	88164		229		358
358	88394		230		359
359	88624		230		360
360	88853		229		361
361	89083		230		362
362	89312		229		363
363	89542		230		364
364	89772		230		365
365	90001		229		366
366	90232		231		367
367	90461		229		368
368	90690		229		369
369	90920		230		370
370	91149		229		371
371	91379		230		372
372	91609		230		373
373	91838		229		374
374	92068		230		375
375	92298		230		376
376	92527		229		377
377	92757		230		378
378	92987		230		379
379	93217		230		380
380	93446		229		381
381	93678		232		382
382	93907		229		383
383	94137		230		384
384	94367		230		385
385	94596		229		386
386	94826		230		387
387	95056		230		388
388	95284		228		389
389	95515		231		390
390	95744		229		391
391	95974		230		392
392	96203		229		393
393	96433		229		394
394	96663		230		395
395	96893		230		396
396	97122		229		397
397	97352		230		398
398	97581		229		399
399	97811		230		400
400	98042		231		401
401	98272		230		402
402	98502		230		403
403	98732		230		404
404	98962		230		405
405	99192		230		406
406	99422		230		407
407	99651		229		408
408	99881		230		409
409	100111		230		410
410	100341		230		411
411	100570		229		412
412	100800		230		413
413	101030		230		414
414	101259		229		415
415	101489		230		416
416	101719		230		417
417	101950		231		418
418	102179		229		419
419	102409		230		420
420	102641		232		421
421	102835		194		422
422	103068		233		423
423	103297		229		424
424	103527		229		425
425	103757		230		426
426	103987		230		427
427	104217		230		428
428	104446		229		429
429	104676		230		430
430	104906		230		431
431	105136		230		432
432	105367		231		433
433	105597		230		434
434	105827		230		435
435	106056		229		436
436	106286		230		437
437	106482		194		438
438	106718		236		439
439	106947		229		440
440	107178		231		441
441	107408		230		442
442	107627		219		443
443	107837		210		444
444	108066		229		445
445	108296		230		446
446	108526		230		447
447	108755		229		448
448	108985		230		449
449	109214		229		450
450	109444		229		451
451	109674		230		452
452	109903		229		453
453	110133		230		454
454	110365		232		455
455	110595		230		456
456	110824		229		457
457	111056		230		458
458	111287		231		459
459	111516		229		460
460	111747		231		461
461	111977		230		462
462	112206		229		463
463	112436		230		464
464	112665		229		465
465	112895		230		466
466	113125		229		467
467	113355		230		468
468	113584		229		469
469	113814		230		470
470	114044		230		471
471	114276		232		472
472	114469		193		473
473	114706		237		474
474	114936		230		475
475	115167		231		476
476	115397		230		477
477	115627		230		478
478	115857		230		479
479	116086		229		480
480	116316		230		481
481	116548		230		482
482	116778		230		483
483	117009		231		484
484	117241		232		485
485	117471		230		486
486	117700		229		487
487	117930		230		488
488	118159		229		489
489	118390		231		490
490	118619		229		491
491	118849		230		492
492	119078		229		493
493	119308		230		494
494	119538		230		495
495	119768		230		496
496	119998		230		497
497	120228		230		498
498	120457		229		499
499	120687		230		500
500	120917		230		501
501	121147		230		502
502	121376		229		503
503	121606		230		504
504	121836		230		505
505	122066		230		506
506	122296		230		507
507	122526		230		508
508	122756		230		509
509	122988		232		510
510	123218		230		511
511	123448		230		512
512	123677		229		513
513	123907		230		514
514	124138		231		515
515	124368		230		516
516	124597		229		517
517	124827		229		518
518	125057		230		519
519	125288		231		520
520	125518		230		521
521	125748		230		522
522	125978		230		523
523	126208		230		524
524	126438		230		525
525	126668		230		526
526	126898		230		527
527	127128		230		528
528	127358		230		529
529	127588		230		530
530	127817		229		531
531	128047		230		532
532	128276		229		533
533	128505		229		534
534	128736		230		535
535	128967		231		536
536	129197		230		537
537	129426		229		538
538	129656		230		539
539	129886		230		540
540	130115		229		541
541	130345		230		542
542	130575		230		543
543	130805		230		544
544	131034		229		545
545	131265		231		546
546	131494		229		547
547	131724		230		548
548	131953		229		549
549	132184		231		550
550	132414		230		551
551	132644		230		552
552	132873		229		553
553	133104		230		554
554	133333		229		555
555	133563		230		556
556	133794		230		557
557	134024		230		558
558	134254		230		559
559	134484		230		560
560	134713		229		561
561	134943		230		562
562	135172		229		563
563	135402		230		564
564	135632		230		565
565	135861		229		566
566	136091		230		567
567	136320		229		568
568	136549		229		569
569	136779		230		570
570	137008		229		571
571	137238		230		572
572	137468		230		573
573	137697		229		574
574	137927		230		575
575	138157		230		576
576	138387		230		577
577	138616		229		578
578	138847		230		579
579	139076		229		580
580	139306		230		581
581	139535		229		582
582	139765		229		583
583	139995		230		584
584	140225		230		585
585	140455		230		586
586	140687		232		587
587	140916		229		588
588	141145		229		589
589	141375		230		590
590	141605		230		591
591	141834		229		592
592	142064		230		593
593	142293		229		594
594	142523		230		595
595	142753		230		596
596	142983		230		597
597	143212		229		598
598	143442		230		599
599	143672		230		600
600	143901		229		601
601	144131		230		602
602	144360		229		603
603	144589		229		604
604	144818		229		605
605	145049		231		606
606	145279		230		607
607	145508		229		608
608	145739		230		609
609	145969		230		610
610	146200		231		611
611	146430		230		612
612	146659		229		613
613	146889		230		614
614	147119		230		615
615	147348		229		616
616	147578		230		617
617	147808		230		618
618	148037		229		619
619	148267		230		620
620	148496		229		621
621	148726		230		622
622	148955		229		623
623	149184		229		624
624	149415		231		625
625	149644		229		626
626	149874		230		627
627	150104		230		628
628	150333		229		629
629	150563		230		630
630	150792		229		631
631	151022		230		632
632	151251		229		633
633	151481		230		634
634	151711		230		635
635	151941		230		636
636	152171		230		637
637	152404		233		638
638	152634		230		639
639	152864		230		640
640	153093		229		641
641	153323		230		642
642	153553		230		643
643	153782		229		644
644	154012		230		645
645	154243		231		646
646	154472		229		647
647	154702		230		648
648	154932		230		649
649	155162		230		650
650	155392		230		651
651	155623		231		652
652	155852		229		653
653	156083		231		654
654	156312		229		655
655	156542		230		656
656	156772		230		657
657	157001		229		658
658	157231		230		659
659	157460		229		660
660	157690		229		661
661	157920		230		662
662	158150		230		663
663	158380		230		664
664	158609		229		665
665	158839		230		666
666	159069		230		667
667	159299		230		668
668	159528		229		669
669	159758		230		670
670	159987		229		671
671	160218		231		672
672	160447		229		673
673	160678		230		674
674	160907		229		675
675	161137		230		676
676	161367		230		677
677	161596		229		678
678	161826		230		679
679	162056		230		680
680	162285		229		681
681	162515		230		682
682	162746		231		683
683	162975		229		684
684	163205		230		685
685	163434		229		686
686	163664		230		687
687	163894		230		688
688	164125		231		689
689	164355		230		690
690	164585		230		691
691	164815		230		692
692	165044		229		693
693	165274		230		694
694	165503		229		695
695	165734		231		696
696	165964		230		697
697	166193		229		698
698	166423		230		699
699	166653		230		700
700	166882		229		701
701	167112		230		702
702	167342		230		703
703	167572		230		704
704	167801		229		705
705	168031		230		706
706	168260		229		707
707	168490		230		708
708	168720		230		709
709	168949		229		710
710	169179		230		711
711	169409		230		712
712	169639		230		713
713	169868		229		714
714	170098		230		715
715	170328		230		716
716	170557		229		717
717	170787		230		718
718	171016		229		719
719	171245		229		720
720	171475		230		721
721	171705		230		722
722	171934		229		723
723	172164		230		724
724	172393		229		725
725	172623		229		726
726	172853		230		727
727	173083		230		728
728	173312		229		729
729	173542		230		730
730	173771		229		731
731	174001		229		732
732	174230		229		733
733	174460		230		734
734	174690		229		735
735	174920		230		736
736	175150		230		737
737	175381		230		738
738	175610		229		739
739	175841		231		740
740	176072		231		741
741	176302		230		742
742	176532		230		743
743	176762		230		744
744	176991		229		745
745	177221		230		746
746	177451		230		747
747	177681		230		748
748	177911		230		749
749	178140		229		750
750	178370		230		751
751	178600		230		752
752	178829		229		753
753	179059		230		754
754	179289		230		755
755	179518		229		756
756	179748		230		757
757	179978		230		758
758	180208		229		759
759	180438		230		760
760	180667		229		761
761	180897		230		762
762	181127		229		763
763	181357		230		764
764	181587		230		765
765	181817		230		766
766	182046		229		767
767	182277		231		768
768	182506		229		769
769	182736		230		770
770	182966		230		771
771	183196		230		772
772	183425		229		773
773	183655		230		774
774	183886		231		775
775	184116		230		776
776	184345		229		777
777	184575		230		778
778	184804		229		779
779	185034		230		780
780	185264		230		781
781	185493		229		782
782	185723		230		783
783	185954		230		784
784	186184		230		785
785	186414		230		786
786	186643		229		787
787	186873		230		788
